File Name ,Song Type,# Song Types,# Notes,# Unique Note Types ,# Note Types,Song Length,PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth
GC-BCVI-KSWM-24-116-T1,a,13,6,40,3,0.5787,5906.25,2625,3281.25,0.1339,5906.25,4218.75,1687.5,0.0815,4031.25,2625,1406.25,0.0644,4031.25,2812.5,1218.75,0.063,3937.5,2812.5,1125,0.0692,3843.75,2625,1218.75,0.0807,3843.75,2718.75,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-25-T1,a,13,6,40,3,0.2032,5062.5,3000,2062.5,0.1888,4218.75,3000,1218.75,0.0338,4875,4031.25,843.75,0.0338,4875,4031.25,843.75,0.0445,5062.5,4406.25,656.25,0.0495,5062.5,4031.25,1031.25,0.0459,5062.5,4031.25,1031.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-54-T1,l,13,5,40,2,0.5492,5437.5,3375,2062.5,0.128,5437.5,4125,1312.5,0.0767,4875,3750,1125,0.0821,4875,3375,1500,0.0824,4875,3375,1500,0.0797,4968.75,3468.75,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-49-T43,a,13,8,40,3,0.8043,6562.5,2156.25,4406.25,0.1318,6562.5,3843.75,2718.75,0.0845,3750,2156.25,1593.75,0.1732,5156.25,2437.5,2718.75,0.0438,5156.25,3000,2156.25,0.0508,3843.75,3093.75,750,0.0387,4031.25,3187.5,843.75,0.0322,4125,3375,750,0.0493,4218.75,3281.25,937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-47-T43,j,13,9,40,4,0.8162,6656.25,2250,4406.25,0.1381,6656.25,4031.25,2625,0.066,3562.5,2250,1312.5,0.1658,5343.75,4218.75,1125,0.0316,4312.5,3000,1312.5,0.0408,3843.75,3281.25,562.5,0.0393,3562.5,3093.75,468.75,0.0435,3750,3281.25,468.75,0.0411,4125,3187.5,937.5,0.0519,4406.25,3187.5,1218.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-21-T1,a,13,8,40,3,0.8647,6843.75,2437.5,4406.25,0.0966,6843.75,2531.25,4312.5,0.0743,6375,4031.25,2343.75,0.0644,3093.75,2437.5,656.25,0.0595,3093.75,2718.75,375,0.0535,3375,2906.25,468.75,0.0624,3375,2906.25,468.75,0.0684,3093.75,2625,468.75,0.0624,3187.5,2718.75,468.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-23-T1,a,13,6,40,3,0.6076,5437.5,3281.25,2156.25,0.1385,5437.5,3843.75,1593.75,0.0763,4968.75,3468.75,1500,0.0769,4968.75,3562.5,1406.25,0.0693,4500,3281.25,1218.75,0.0655,4781.25,3281.25,1500,0.0802,4687.5,3468.75,1218.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-62-T1,b,13,7,40,3,0.682,6468.75,2156.25,4312.5,0.1618,5812.5,2531.25,3281.25,0.0523,6468.75,2812.5,3656.25,0.053,5906.25,4312.5,1593.75,0.05,5906.25,4593.75,1312.5,0.05,6000,4593.75,1406.25,0.0561,5343.75,4312.5,1031.25,0.0593,3750,2156.25,1593.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-8-T1,b,13,6,40,3,0.5931,6656.25,2156.25,4500,0.0919,6281.25,3187.5,3093.75,0.0422,6656.25,4781.25,1875,0.0498,6562.5,4593.75,1968.75,0.0517,6093.75,4687.5,1406.25,0.0489,5906.25,5437.5,468.75,0.0346,3562.5,2156.25,1406.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-42-T1,l,13,5,40,2,0.4962,5625,3375,2250,0.1299,5625,3750,1875,0.066,4875,3656.25,1218.75,0.0682,4687.5,3656.25,1031.25,0.0607,4687.5,3468.75,1218.75,0.069,4968.75,3375,1593.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-71-T1,b,13,8,40,4,0.8843,6187.5,3093.75,3093.75,0.0695,6000,3656.25,2343.75,0.0472,5906.25,4500,1406.25,0.0481,5718.75,4406.25,1312.5,0.0472,5437.5,4406.25,1031.25,0.0507,6187.5,4312.5,1875,0.0358,4968.75,3093.75,1875,0.0484,4687.5,4031.25,656.25,0.0579,6000,3656.25,2343.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-60-T1,b,13,8,40,4,0.8004,6375,2156.25,4218.75,0.0768,6375,2718.75,3656.25,0.0514,6375,4500,1875,0.0521,6187.5,4312.5,1875,0.0452,6093.75,4406.25,1687.5,0.0709,6093.75,2250,3843.75,0.0528,3843.75,2156.25,1687.5,0.0628,4312.5,3468.75,843.75,0.0518,6093.75,3281.25,2812.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-85-T1,b,13,6,40,3,0.5366,6281.25,2718.75,3562.5,0.0804,5906.25,2718.75,3187.5,0.057,6000,4406.25,1593.75,0.0502,0.429,6281.25,-6280.821,0.056,6281.25,4406.25,1875,0.0416,6187.5,5531.25,656.25,0.0474,4125,2718.75,1406.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-92-T1,b,13,5,40,2,0.4257,6281.25,2437.5,3843.75,0.0934,4968.75,2437.5,2531.25,0.0516,6281.25,4312.5,1968.75,0.0489,5812.5,4406.25,1406.25,0.0586,6187.5,4406.25,1781.25,0.0491,5906.25,4406.25,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-81-T1,b,13,6,40,3,0.6321,8625,2625,6000,0.0898,6187.5,3000,3187.5,0.0503,6187.5,4593.75,1593.75,0.0506,6281.25,4593.75,1687.5,0.0448,6187.5,4500,1687.5,0.0617,6187.5,4687.5,1500,0.1133,8625,2625,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-94-T1,b,13,5,40,3,0.4816,6375,3000,3375,0.0954,6375,3000,3375,0.0487,6375,4593.75,1781.25,0.0423,6000,4781.25,1218.75,0.05,6281.25,5437.5,843.75,0.0314,4687.5,3000,1687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-79-T1,b,13,6,40,3,0.5351,6468.75,2625,3843.75,0.0779,6187.5,2906.25,3281.25,0.0587,6468.75,4500,1968.75,0.0578,6375,4500,1875,0.0625,6375,4500,1875,0.0951,6281.25,4593.75,1687.5,0.0421,4406.25,2625,1781.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-65-T1,b,13,9,40,4,1.0057,6281.25,2156.25,4125,0.0887,6281.25,2343.75,3937.5,0.0653,6187.5,4687.5,1500,0.055,6093.75,4781.25,1312.5,0.0518,6093.75,4687.5,1406.25,0.0523,6000,4593.75,1406.25,0.0572,3750,2437.5,1312.5,0.0629,4687.5,3750,937.5,0.064,4687.5,2625,2062.5,0.0572,2812.5,2156.25,656.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-11-T13,b,13,8,40,4,0.8156,6187.5,2812.5,3375,0.0973,6000,3281.25,2718.75,0.0546,6000,4500,1500,0.05,6000,4312.5,1687.5,0.0579,6000,4500,1500,0.0639,6187.5,4125,2062.5,0.0546,4687.5,2812.5,1875,0.0728,4781.25,3656.25,1125,0.0866,4687.5,4125,562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-5-T13,b,13,10,40,5,1.5441,7218.75,2625,4593.75,0.0568,6281.25,4593.75,1687.5,0.0574,6750,4500,2250,0.0515,6093.75,5625,468.75,0.0607,6187.5,4406.25,1781.25,0.0775,6093.75,4406.25,1687.5,0.036,3281.25,2625,656.25,0.0775,4968.75,3937.5,1031.25,0.0793,5062.5,3937.5,1125,0.1059,7218.75,5062.5,2156.25,0.3035,4218.75,2718.75,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-14-T1,b,13,6,40,3,0.5479,6468.75,2437.5,4031.25,0.0785,6000,2437.5,3562.5,0.0565,6468.75,4500,1968.75,0.0607,6187.5,4500,1687.5,0.0554,6187.5,4593.75,1593.75,0.0551,6187.5,5531.25,656.25,0.0363,4218.75,2812.5,1406.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-68-T1,b,13,9,40,4,1.0725,6750,2812.5,3937.5,0.0952,6750,2906.25,3843.75,0.0496,6656.25,4500,2156.25,0.0527,6562.5,5718.75,843.75,0.0568,6187.5,5343.75,843.75,0.0742,6187.5,5343.75,843.75,0.0533,4312.5,2812.5,1500,0.0724,4500,4031.25,468.75,0.0622,4687.5,4312.5,375,0.0609,6375,3468.75,2906.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-20-T13,b,13,7,40,3,0.8256,6375,2062.5,4312.5,0.2052,4218.75,3093.75,1125,0.0562,3187.5,2906.25,281.25,0.0582,6375,2812.5,3562.5,0.0874,4968.75,3093.75,1875,0.1387,4312.5,2062.5,2250,0.078,4875,4312.5,562.5,0.0718,4500,3937.5,562.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-96-T1,b,13,6,40,3,0.5828,6187.5,2343.75,3843.75,0.0831,6187.5,2812.5,3375,0.0542,6093.75,4500,1593.75,0.0416,6000,4687.5,1312.5,0.0453,5812.5,4218.75,1593.75,0.049,5906.25,4593.75,1312.5,0.0527,3843.75,2343.75,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
